"zcta","sldu22","ZIPName","pop20","afact"
"ZIP census tabulation area","State legislative district, upper (2022)","ZIP Code name","Total population (2020 Census)","zcta-to-sldu22 allocation factor"
" ","003","[not in a ZCTA]",32,0.2092 
" ","008","[not in a ZCTA]",121,0.7908 
"96701","014","Aiea, HI",975,0.0228 
"96701","015","Aiea, HI",4809,0.1123 
"96701","016","Aiea, HI",37049,0.865 
"96703","008","Anahola, HI (PO boxes)",2638,1 
"96704","003","Captain Cook, HI",6818,1 
"96705","008","Eleele, HI (PO boxes)",2536,1 
"96706","019","Ewa Beach, HI",5260,0.0655 
"96706","020","Ewa Beach, HI",61401,0.7647 
"96706","021","Ewa Beach, HI",13638,0.1698 
"96707","018","Kapolei, HI",31,0.0007 
"96707","021","Kapolei, HI",45848,0.9717 
"96707","022","Kapolei, HI",1302,0.0276 
"96708","007","Haiku, HI",10993,1 
"96710","004","Hakalau, HI (PO boxes)",650,1 
"96712","023","Haleiwa, HI",8259,1 
"96713","007","Hana, HI",2264,1 
"96714","008","Hanalei, HI (PO boxes)",1557,1 
"96716","008","Hanapepe, HI (PO boxes)",2784,1 
"96717","023","Hauula, HI",5441,1 
"96719","004","Hawi, HI (PO boxes)",2020,1 
"96720","001","Hilo, HI",46615,1 
"96722","008","Princeville, HI",2328,1 
"96725","003","Holualoa, HI",4094,1 
"96726","003","Honaunau, HI (PO boxes)",136,1 
"96727","004","Honokaa, HI",4990,1 
"96728","004","Honomu, HI (PO boxes)",606,1 
"96729","007","Hoolehua, HI (PO boxes)",1358,1 
"96730","023","Kaaawa, HI",1584,1 
"96731","023","Kahuku, HI",3309,1 
"96732","005","Kahului, HI",25347,0.9215 
"96732","006","Kahului, HI",2053,0.0746 
"96732","007","Kahului, HI",107,0.0039 
"96734","024","Kailua, HI",26327,0.5274 
"96734","025","Kailua, HI",23595,0.4726 
"96737","003","Ocean View, HI (PO boxes)",4806,1 
"96738","004","Waikoloa, HI",7447,1 
"96740","003","Kailua Kona, HI",24988,0.6536 
"96740","004","Kailua Kona, HI",13246,0.3464 
"96741","008","Kalaheo, HI",6424,1 
"96742","007","Kalaupapa, HI (PO boxes)",82,1 
"96743","004","Kamuela, HI",13339,1 
"96744","023","Kaneohe, HI",19795,0.3428 
"96744","024","Kaneohe, HI",37951,0.6572 
"96746","008","Kapaa, HI",19991,1 
"96747","008","Kaumakani, HI (PO boxes)",666,1 
"96748","007","Kaunakakai, HI",4441,1 
"96749","002","Keaau, HI",20503,1 
"96750","003","Kealakekua, HI",3806,1 
"96751","008","Kealia, HI (PO boxes)",152,1 
"96752","008","Kekaha, HI (PO boxes)",3900,1 
"96753","006","Kihei, HI",27611,1 
"96754","008","Kilauea, HI",4378,1 
"96755","004","Kapaau, HI (PO boxes)",3613,1 
"96756","008","Koloa, HI",5766,1 
"96757","007","Kualapuu, HI (PO boxes)",768,1 
"96759","023","Kunia, HI (PO boxes)",479,1 
"96760","002","Kurtistown, HI",3923,1 
"96761","006","Lahaina, HI",23167,1 
"96762","023","Laie, HI",6316,1 
"96763","007","Lanai City, HI (PO boxes)",3367,1 
"96764","004","Laupahoehoe, HI (PO boxes)",649,1 
"96765","008","Lawai, HI (PO boxes)",767,1 
"96766","008","Lihue, HI",16937,1 
"96768","007","Makawao, HI",18512,1 
"96769","008","Makaweli, HI (PO boxes)",296,1 
"96770","007","Maunaloa, HI (PO boxes)",720,1 
"96771","001","Mountain View, HI",252,0.0297 
"96771","002","Mountain View, HI",8231,0.9703 
"96772","003","Naalehu, HI (PO boxes)",2579,1 
"96773","004","Ninole, HI (PO boxes)",412,1 
"96774","004","Ookala, HI (PO boxes)",281,1 
"96776","004","Paauilo, HI (PO boxes)",1782,1 
"96777","003","Pahala, HI (PO boxes)",1559,1 
"96778","002","Pahoa, HI",14687,1 
